user,mean_login_hour,mean_logout_hour,files_per_day,usb_per_day,emails_per_day,out_of_session_access,,department
user1,8.033333333,15.93333333,3.928571429,1,2.5,79,,IT Support
user2,8.2,16.7,3.733333333,1,2.769230769,74,,Customer Care
user3,7.933333333,15.9,4.233333333,1,2.678571429,96,,Customer Care
user4,7.933333333,16.13333333,3.655172414,1,3.214285714,77,,Finance
user5,8.166666667,15.73333333,4.034482759,1.25,2.482758621,83,,IT Support
user6,8.133333333,16.43333333,3.4,1,2,63,,Customer Care
user7,8.1,16.16666667,3.4,1.125,2.538461538,63,,Customer Care
user8,7.633333333,15.63333333,3.413793103,1.125,2.655172414,60,,Finance
user9,8.3,16.3,3.25,1.1,2.586206897,54,,IT Support
user10,7.933333333,15.63333333,3.933333333,1,3.185185185,80,,Finance
user11,7.966666667,16.23333333,3.965517241,1,2.793103448,82,,Customer Care
user12,7.666666667,16,3.133333333,1,2.565217391,64,,Finance
user13,8,16.1,4.535714286,1.5,2.821428571,88,,IT Support
user14,7.966666667,15.83333333,3.785714286,1,2.666666667,65,,Customer Care
user15,8.3,16.26666667,3.392857143,1.111111111,2.19047619,63,,Customer Care
user16,8.433333333,16.56666667,4.296296296,1,2.769230769,77,,IT Support
user17,7.633333333,15.46666667,3.766666667,1,2.678571429,72,,Finance
user18,8.4,16.73333333,4.466666667,1.111111111,2.333333333,85,,IT Support
user19,7.833333333,15.96666667,4.25,1.2,2.107142857,82,,IT Support
user20,7.866666667,15.93333333,4.033333333,1.5,2.12,71,,Finance
