user,mean_login_hour,mean_logout_hour,files_per_day,usb_per_day,emails_per_day,out_of_session_access,Unnamed: 7,department,keyword_flag,subject_len,sentiment
user1,8.033333333,15.93333333,3.928571429,1.0,2.5,79.0,,IT Support,0.4666666666666667,9.4,0.0
user2,8.2,16.7,3.733333333,1.0,2.769230769,74.0,,Customer Care,0.3888888888888889,9.555555555555555,0.0
user3,7.933333333,15.9,4.233333333,1.0,2.678571429,96.0,,Customer Care,0.4,9.506666666666666,0.0
user4,7.933333333,16.13333333,3.655172414,1.0,3.214285714,77.0,,Finance,0.4222222222222222,8.922222222222222,0.0
user5,8.166666667,15.73333333,4.034482759,1.25,2.482758621,83.0,,IT Support,0.3194444444444444,10.375,0.0
user6,8.133333333,16.43333333,3.4,1.0,2.0,63.0,,Customer Care,0.3571428571428571,9.678571428571429,0.0
user7,8.1,16.16666667,3.4,1.125,2.538461538,63.0,,Customer Care,0.3181818181818182,8.93939393939394,0.0
user8,7.633333333,15.63333333,3.413793103,1.125,2.655172414,60.0,,Finance,0.4415584415584415,8.922077922077921,0.0
user9,8.3,16.3,3.25,1.1,2.586206897,54.0,,IT Support,0.4666666666666667,9.386666666666668,0.0
user10,7.933333333,15.63333333,3.933333333,1.0,3.185185185,80.0,,Finance,0.4418604651162791,9.395348837209305,0.0
user11,7.966666667,16.23333333,3.965517241,1.0,2.793103448,82.0,,Customer Care,0.4074074074074074,9.469135802469136,0.0
user12,7.666666667,16.0,3.133333333,1.0,2.565217391,64.0,,Finance,0.3728813559322034,9.457627118644067,0.0
user13,8.0,16.1,4.535714286,1.5,2.821428571,88.0,,IT Support,0.5063291139240507,9.075949367088608,0.0
user14,7.966666667,15.83333333,3.785714286,1.0,2.666666667,65.0,,Customer Care,0.34375,9.015625,0.0
user15,8.3,16.26666667,3.392857143,1.111111111,2.19047619,63.0,,Customer Care,0.4782608695652174,9.978260869565217,0.0
user16,8.433333333,16.56666667,4.296296296,1.0,2.769230769,77.0,,IT Support,0.3472222222222222,9.319444444444445,0.0
user17,7.633333333,15.46666667,3.766666667,1.0,2.678571429,72.0,,Finance,0.44,9.346666666666666,0.0
user18,8.4,16.73333333,4.466666667,1.111111111,2.333333333,85.0,,IT Support,0.3809523809523809,9.873015873015872,0.0
user19,7.833333333,15.96666667,4.25,1.2,2.107142857,82.0,,IT Support,0.3898305084745763,9.05084745762712,0.0
user20,7.866666667,15.93333333,4.033333333,1.5,2.12,71.0,,Finance,0.320754716981132,9.0,0.0
user22,14.0,16.083333332499997,100.0,0.5,150.0,73.9,0.0,Customer Care,0.40050105231737376,9.383403791894242,0.0
